season,dteday,count_cr
Spring,2011-01-01,985
Spring,2011-01-02,801
Spring,2011-01-03,1349
Spring,2011-01-04,1562
Spring,2011-01-05,1600
Spring,2011-01-06,1606
Spring,2011-01-07,1510
Spring,2011-01-08,959
Spring,2011-01-09,822
Spring,2011-01-10,1321
Spring,2011-01-11,1263
Spring,2011-01-12,1162
Spring,2011-01-13,1406
Spring,2011-01-14,1421
Spring,2011-01-15,1248
Spring,2011-01-16,1204
Spring,2011-01-17,1000
Spring,2011-01-18,683
Spring,2011-01-19,1650
Spring,2011-01-20,1927
Spring,2011-01-21,1543
Spring,2011-01-22,981
Spring,2011-01-23,986
Spring,2011-01-24,1416
Spring,2011-01-25,1985
Spring,2011-01-26,506
Spring,2011-01-27,431
Spring,2011-01-28,1167
Spring,2011-01-29,1098
Spring,2011-01-30,1096
Spring,2011-01-31,1501
Spring,2011-02-01,1360
Spring,2011-02-02,1526
Spring,2011-02-03,1550
Spring,2011-02-04,1708
Spring,2011-02-05,1005
Spring,2011-02-06,1623
Spring,2011-02-07,1712
Spring,2011-02-08,1530
Spring,2011-02-09,1605
Spring,2011-02-10,1538
Spring,2011-02-11,1746
Spring,2011-02-12,1472
Spring,2011-02-13,1589
Spring,2011-02-14,1913
Spring,2011-02-15,1815
Spring,2011-02-16,2115
Spring,2011-02-17,2475
Spring,2011-02-18,2927
Spring,2011-02-19,1635
Spring,2011-02-20,1812
Spring,2011-02-21,1107
Spring,2011-02-22,1450
Spring,2011-02-23,1917
Spring,2011-02-24,1807
Spring,2011-02-25,1461
Spring,2011-02-26,1969
Spring,2011-02-27,2402
Spring,2011-02-28,1446
Spring,2011-03-01,1851
Spring,2011-03-02,2134
Spring,2011-03-03,1685
Spring,2011-03-04,1944
Spring,2011-03-05,2077
Spring,2011-03-06,605
Spring,2011-03-07,1872
Spring,2011-03-08,2133
Spring,2011-03-09,1891
Spring,2011-03-10,623
Spring,2011-03-11,1977
Spring,2011-03-12,2132
Spring,2011-03-13,2417
Spring,2011-03-14,2046
Spring,2011-03-15,2056
Spring,2011-03-16,2192
Spring,2011-03-17,2744
Spring,2011-03-18,3239
Spring,2011-03-19,3117
Spring,2011-03-20,2471
Summer,2011-03-21,2077
Summer,2011-03-22,2703
Summer,2011-03-23,2121
Summer,2011-03-24,1865
Summer,2011-03-25,2210
Summer,2011-03-26,2496
Summer,2011-03-27,1693
Summer,2011-03-28,2028
Summer,2011-03-29,2425
Summer,2011-03-30,1536
Summer,2011-03-31,1685
Summer,2011-04-01,2227
Summer,2011-04-02,2252
Summer,2011-04-03,3249
Summer,2011-04-04,3115
Summer,2011-04-05,1795
Summer,2011-04-06,2808
Summer,2011-04-07,3141
Summer,2011-04-08,1471
Summer,2011-04-09,2455
Summer,2011-04-10,2895
Summer,2011-04-11,3348
Summer,2011-04-12,2034
Summer,2011-04-13,2162
Summer,2011-04-14,3267
Summer,2011-04-15,3126
Summer,2011-04-16,795
Summer,2011-04-17,3744
Summer,2011-04-18,3429
Summer,2011-04-19,3204
Summer,2011-04-20,3944
Summer,2011-04-21,4189
Summer,2011-04-22,1683
Summer,2011-04-23,4036
Summer,2011-04-24,4191
Summer,2011-04-25,4073
Summer,2011-04-26,4400
Summer,2011-04-27,3872
Summer,2011-04-28,4058
Summer,2011-04-29,4595
Summer,2011-04-30,5312
Summer,2011-05-01,3351
Summer,2011-05-02,4401
Summer,2011-05-03,4451
Summer,2011-05-04,2633
Summer,2011-05-05,4433
Summer,2011-05-06,4608
Summer,2011-05-07,4714
Summer,2011-05-08,4333
Summer,2011-05-09,4362
Summer,2011-05-10,4803
Summer,2011-05-11,4182
Summer,2011-05-12,4864
Summer,2011-05-13,4105
Summer,2011-05-14,3409
Summer,2011-05-15,4553
Summer,2011-05-16,3958
Summer,2011-05-17,4123
Summer,2011-05-18,3855
Summer,2011-05-19,4575
Summer,2011-05-20,4917
Summer,2011-05-21,5805
Summer,2011-05-22,4660
Summer,2011-05-23,4274
Summer,2011-05-24,4492
Summer,2011-05-25,4978
Summer,2011-05-26,4677
Summer,2011-05-27,4679
Summer,2011-05-28,4758
Summer,2011-05-29,4788
Summer,2011-05-30,4098
Summer,2011-05-31,3982
Summer,2011-06-01,3974
Summer,2011-06-02,4968
Summer,2011-06-03,5312
Summer,2011-06-04,5342
Summer,2011-06-05,4906
Summer,2011-06-06,4548
Summer,2011-06-07,4833
Summer,2011-06-08,4401
Summer,2011-06-09,3915
Summer,2011-06-10,4586
Summer,2011-06-11,4966
Summer,2011-06-12,4460
Summer,2011-06-13,5020
Summer,2011-06-14,4891
Summer,2011-06-15,5180
Summer,2011-06-16,3767
Summer,2011-06-17,4844
Summer,2011-06-18,5119
Summer,2011-06-19,4744
Summer,2011-06-20,4010
Fall,2011-06-21,4835
Fall,2011-06-22,4507
Fall,2011-06-23,4790
Fall,2011-06-24,4991
Fall,2011-06-25,5202
Fall,2011-06-26,5305
Fall,2011-06-27,4708
Fall,2011-06-28,4648
Fall,2011-06-29,5225
Fall,2011-06-30,5515
Fall,2011-07-01,5362
Fall,2011-07-02,5119
Fall,2011-07-03,4649
Fall,2011-07-04,6043
Fall,2011-07-05,4665
Fall,2011-07-06,4629
Fall,2011-07-07,4592
Fall,2011-07-08,4040
Fall,2011-07-09,5336
Fall,2011-07-10,4881
Fall,2011-07-11,4086
Fall,2011-07-12,4258
Fall,2011-07-13,4342
Fall,2011-07-14,5084
Fall,2011-07-15,5538
Fall,2011-07-16,5923
Fall,2011-07-17,5302
Fall,2011-07-18,4458
Fall,2011-07-19,4541
Fall,2011-07-20,4332
Fall,2011-07-21,3784
Fall,2011-07-22,3387
Fall,2011-07-23,3285
Fall,2011-07-24,3606
Fall,2011-07-25,3840
Fall,2011-07-26,4590
Fall,2011-07-27,4656
Fall,2011-07-28,4390
Fall,2011-07-29,3846
Fall,2011-07-30,4475
Fall,2011-07-31,4302
Fall,2011-08-01,4266
Fall,2011-08-02,4845
Fall,2011-08-03,3574
Fall,2011-08-04,4576
Fall,2011-08-05,4866
Fall,2011-08-06,4294
Fall,2011-08-07,3785
Fall,2011-08-08,4326
Fall,2011-08-09,4602
Fall,2011-08-10,4780
Fall,2011-08-11,4792
Fall,2011-08-12,4905
Fall,2011-08-13,4150
Fall,2011-08-14,3820
Fall,2011-08-15,4338
Fall,2011-08-16,4725
Fall,2011-08-17,4694
Fall,2011-08-18,3805
Fall,2011-08-19,4153
Fall,2011-08-20,5191
Fall,2011-08-21,3873
Fall,2011-08-22,4758
Fall,2011-08-23,5895
Fall,2011-08-24,5130
Fall,2011-08-25,3542
Fall,2011-08-26,4661
Fall,2011-08-27,1115
Fall,2011-08-28,4334
Fall,2011-08-29,4634
Fall,2011-08-30,5204
Fall,2011-08-31,5058
Fall,2011-09-01,5115
Fall,2011-09-02,4727
Fall,2011-09-03,4484
Fall,2011-09-04,4940
Fall,2011-09-05,3351
Fall,2011-09-06,2710
Fall,2011-09-07,1996
Fall,2011-09-08,1842
Fall,2011-09-09,3544
Fall,2011-09-10,5345
Fall,2011-09-11,5046
Fall,2011-09-12,4713
Fall,2011-09-13,4763
Fall,2011-09-14,4785
Fall,2011-09-15,3659
Fall,2011-09-16,4760
Fall,2011-09-17,4511
Fall,2011-09-18,4274
Fall,2011-09-19,4539
Fall,2011-09-20,3641
Fall,2011-09-21,4352
Fall,2011-09-22,4795
Winter,2011-09-23,2395
Winter,2011-09-24,5423
Winter,2011-09-25,5010
Winter,2011-09-26,4630
Winter,2011-09-27,4120
Winter,2011-09-28,3907
Winter,2011-09-29,4839
Winter,2011-09-30,5202
Winter,2011-10-01,2429
Winter,2011-10-02,2918
Winter,2011-10-03,3570
Winter,2011-10-04,4456
Winter,2011-10-05,4826
Winter,2011-10-06,4765
Winter,2011-10-07,4985
Winter,2011-10-08,5409
Winter,2011-10-09,5511
Winter,2011-10-10,5117
Winter,2011-10-11,4563
Winter,2011-10-12,2416
Winter,2011-10-13,2913
Winter,2011-10-14,3644
Winter,2011-10-15,5217
Winter,2011-10-16,5041
Winter,2011-10-17,4570
Winter,2011-10-18,4748
Winter,2011-10-19,2424
Winter,2011-10-20,4195
Winter,2011-10-21,4304
Winter,2011-10-22,4308
Winter,2011-10-23,4381
Winter,2011-10-24,4187
Winter,2011-10-25,4687
Winter,2011-10-26,3894
Winter,2011-10-27,2659
Winter,2011-10-28,3747
Winter,2011-10-29,627
Winter,2011-10-30,3331
Winter,2011-10-31,3669
Winter,2011-11-01,4068
Winter,2011-11-02,4186
Winter,2011-11-03,3974
Winter,2011-11-04,4046
Winter,2011-11-05,3926
Winter,2011-11-06,3649
Winter,2011-11-07,4035
Winter,2011-11-08,4205
Winter,2011-11-09,4109
Winter,2011-11-10,2933
Winter,2011-11-11,3368
Winter,2011-11-12,4067
Winter,2011-11-13,3717
Winter,2011-11-14,4486
Winter,2011-11-15,4195
Winter,2011-11-16,1817
Winter,2011-11-17,3053
Winter,2011-11-18,3392
Winter,2011-11-19,3663
Winter,2011-11-20,3520
Winter,2011-11-21,2765
Winter,2011-11-22,1607
Winter,2011-11-23,2566
Winter,2011-11-24,1495
Winter,2011-11-25,2792
Winter,2011-11-26,3068
Winter,2011-11-27,3071
Winter,2011-11-28,3867
Winter,2011-11-29,2914
Winter,2011-11-30,3613
Winter,2011-12-01,3727
Winter,2011-12-02,3940
Winter,2011-12-03,3614
Winter,2011-12-04,3485
Winter,2011-12-05,3811
Winter,2011-12-06,2594
Winter,2011-12-07,705
Winter,2011-12-08,3322
Winter,2011-12-09,3620
Winter,2011-12-10,3190
Winter,2011-12-11,2743
Winter,2011-12-12,3310
Winter,2011-12-13,3523
Winter,2011-12-14,3740
Winter,2011-12-15,3709
Winter,2011-12-16,3577
Winter,2011-12-17,2739
Winter,2011-12-18,2431
Winter,2011-12-19,3403
Winter,2011-12-20,3750
Spring,2011-12-21,2660
Spring,2011-12-22,3068
Spring,2011-12-23,2209
Spring,2011-12-24,1011
Spring,2011-12-25,754
Spring,2011-12-26,1317
Spring,2011-12-27,1162
Spring,2011-12-28,2302
Spring,2011-12-29,2423
Spring,2011-12-30,2999
Spring,2011-12-31,2485
Spring,2012-01-01,2294
Spring,2012-01-02,1951
Spring,2012-01-03,2236
Spring,2012-01-04,2368
Spring,2012-01-05,3272
Spring,2012-01-06,4098
Spring,2012-01-07,4521
Spring,2012-01-08,3425
Spring,2012-01-09,2376
Spring,2012-01-10,3598
Spring,2012-01-11,2177
Spring,2012-01-12,4097
Spring,2012-01-13,3214
Spring,2012-01-14,2493
Spring,2012-01-15,2311
Spring,2012-01-16,2298
Spring,2012-01-17,2935
Spring,2012-01-18,3376
Spring,2012-01-19,3292
Spring,2012-01-20,3163
Spring,2012-01-21,1301
Spring,2012-01-22,1977
Spring,2012-01-23,2432
Spring,2012-01-24,4339
Spring,2012-01-25,4270
Spring,2012-01-26,4075
Spring,2012-01-27,3456
Spring,2012-01-28,4023
Spring,2012-01-29,3243
Spring,2012-01-30,3624
Spring,2012-01-31,4509
Spring,2012-02-01,4579
Spring,2012-02-02,3761
Spring,2012-02-03,4151
Spring,2012-02-04,2832
Spring,2012-02-05,2947
Spring,2012-02-06,3784
Spring,2012-02-07,4375
Spring,2012-02-08,2802
Spring,2012-02-09,3830
Spring,2012-02-10,3831
Spring,2012-02-11,2169
Spring,2012-02-12,1529
Spring,2012-02-13,3422
Spring,2012-02-14,3922
Spring,2012-02-15,4169
Spring,2012-02-16,3005
Spring,2012-02-17,4154
Spring,2012-02-18,4318
Spring,2012-02-19,2689
Spring,2012-02-20,3129
Spring,2012-02-21,3777
Spring,2012-02-22,4773
Spring,2012-02-23,5062
Spring,2012-02-24,3487
Spring,2012-02-25,2732
Spring,2012-02-26,3389
Spring,2012-02-27,4322
Spring,2012-02-28,4363
Spring,2012-02-29,1834
Spring,2012-03-01,4990
Spring,2012-03-02,3194
Spring,2012-03-03,4066
Spring,2012-03-04,3423
Spring,2012-03-05,3333
Spring,2012-03-06,3956
Spring,2012-03-07,4916
Spring,2012-03-08,5382
Spring,2012-03-09,4569
Spring,2012-03-10,4118
Spring,2012-03-11,4911
Spring,2012-03-12,5298
Spring,2012-03-13,5847
Spring,2012-03-14,6312
Spring,2012-03-15,6192
Spring,2012-03-16,4378
Spring,2012-03-17,7836
Spring,2012-03-18,5892
Spring,2012-03-19,6153
Spring,2012-03-20,6093
Summer,2012-03-21,6230
Summer,2012-03-22,6871
Summer,2012-03-23,8362
Summer,2012-03-24,3372
Summer,2012-03-25,4996
Summer,2012-03-26,5558
Summer,2012-03-27,5102
Summer,2012-03-28,5698
Summer,2012-03-29,6133
Summer,2012-03-30,5459
Summer,2012-03-31,6235
Summer,2012-04-01,6041
Summer,2012-04-02,5936
Summer,2012-04-03,6772
Summer,2012-04-04,6436
Summer,2012-04-05,6457
Summer,2012-04-06,6460
Summer,2012-04-07,6857
Summer,2012-04-08,5169
Summer,2012-04-09,5585
Summer,2012-04-10,5918
Summer,2012-04-11,4862
Summer,2012-04-12,5409
Summer,2012-04-13,6398
Summer,2012-04-14,7460
Summer,2012-04-15,7132
Summer,2012-04-16,6370
Summer,2012-04-17,6691
Summer,2012-04-18,4367
Summer,2012-04-19,6565
Summer,2012-04-20,7290
Summer,2012-04-21,6624
Summer,2012-04-22,1027
Summer,2012-04-23,3214
Summer,2012-04-24,5633
Summer,2012-04-25,6196
Summer,2012-04-26,5026
Summer,2012-04-27,6233
Summer,2012-04-28,4220
Summer,2012-04-29,6304
Summer,2012-04-30,5572
Summer,2012-05-01,5740
Summer,2012-05-02,6169
Summer,2012-05-03,6421
Summer,2012-05-04,6296
Summer,2012-05-05,6883
Summer,2012-05-06,6359
Summer,2012-05-07,6273
Summer,2012-05-08,5728
Summer,2012-05-09,4717
Summer,2012-05-10,6572
Summer,2012-05-11,7030
Summer,2012-05-12,7429
Summer,2012-05-13,6118
Summer,2012-05-14,2843
Summer,2012-05-15,5115
Summer,2012-05-16,7424
Summer,2012-05-17,7384
Summer,2012-05-18,7639
Summer,2012-05-19,8294
Summer,2012-05-20,7129
Summer,2012-05-21,4359
Summer,2012-05-22,6073
Summer,2012-05-23,5260
Summer,2012-05-24,6770
Summer,2012-05-25,6734
Summer,2012-05-26,6536
Summer,2012-05-27,6591
Summer,2012-05-28,6043
Summer,2012-05-29,5743
Summer,2012-05-30,6855
Summer,2012-05-31,7338
